# Glossary in tab-separated format -*- coding: utf-8 -*-
SecretRoom	Br/SalaSecreta
SecretShop	Br/LojaSecreta
SecretUndergroundPassage	Br/PassagemSecretaSubterranea
SecularHero	Br/HeroiSecular
SeinfeldIsUnfunny	Br/SeinfeldNaoTemGraca
SelfDemonstratingArticle	Br/ArtigoAutoDemonstrativo
SelfDeprecating	Br/{{Autodepreciativo}}
SelfFulfillingProphecy	Br/ProfeciaAutorrealizavel
SelfInflictedHell	Br/InfernoAutoInfligido
SelfMadeMan	Br/HomemEmpreendedor
SelflessWish	Br/DesejoAltruista
SelflessnessTropes	Br/TroposDeAltruismo
SenselessSacrifice	Br/SacrificioSemSentido
SensibleHeroesSkimpyVillains	Br/HeroisRecatadosViloesExibidos
SequelAdaptationIconicVillain	Br/VilaoIconicoDaAdaptacaoNaSequencia
SequelDifficultyDrop	Br/QuedaDeDificuldadeDaSequencia
SequelDifficultySpike	Br/AumentoDeDificuldadeDaSequencia
SequelDisplacement	Br/DeslocadoPelaSequencia
SequelEpisode	Br/EpisodioSequencia
SequelEscalation	Br/EscaladaDaSequencia
SequelFirst	Br/PrimeiroASequencia
SequelGap	Br/VaoNaSequencia
SequelGoesForeign	Br/ASequenciaViajaParaFora
SequelHook	Br/GanchoParaASequencia
SequelInAnotherMedium	Br/SequenciaEmOutraMidia
SequelLogoInRuins	Br/LogotipoDaSequenciaEmRuinas
SequelNonEntity	Br/NaoEntidadeDaSequencia
SequelNumberSnarl	Br/EmaranhadoDeNumeroDaSequencia
SequelReset	Br/ReinicioDeSequencia
SequelSeries	Br/SerieDeSequencia
SequelSnark	Br/SequenciaSarcastica
Sequelitis	Br/SequeliteCronica
Sequelitis	Br/{{Sequelite}}
SerialKiller	Br/AssassinoEmSerie
SerialNumbersFiledOff	Br/NumeroSerialRaspado
Series/HappyDays	BrSerie/DiasFelizes
Series/MorkAndMindy	BrSerie/MorkEMindy
Series/StarTrekTheOriginalSeries	BrSerie/StarTrekASerieOriginal
Series/TheGoodPlace	BrSerie/OBomLugar
SeriesContinuityError	Br/ErroDeContinuidadeSerial
SeriesContinuityError	Br/ErroDeContinuidadeSerial
SeriesMascot	Br/MascoteDaSerie
SeriesTropes	Br/TroposDeSeries
SeriousBusiness	Br/CoisaSeria
SeriousBusiness	Br/NegocioSerio
ServileSnarker	Br/SarcasticoServil
SesquipedalianLoquaciouness	Br/LoquacidadeSesquipedaliana
SesquipedalianLoquacity	Br/LoquacidadeSesquipedaliana
SetBehindTheScenes	Br/AmbientadoPorTrasDasCenas
SetRightWhatOnceWentWrong	Br/CorrigirOQueDeuErrado
SettingAsACharacter	Br/AmbientacaoComoPersonagem
SettingGimmicks	Br/ArtificiosDeAmbientacao
Settings	Br/{{Ambientacao}}
SettlingTheFrontier	Br/ColonizarAFronteira
SevenDeadlySins	Br/SetePecadosCapitais
SevenHeavenlyVirtues	Br/SeteVirtudesCelestiais
SeverelySpecializedStore	Br/LojaExtremamenteEspecializada
SewerTropes	Br/TroposDeEsgoto
SexIsGood	Br/SexoEBom
SexTropes	Br/TroposSexuais
SexualEuphemism	Br/EufemismoSexual
SexyDimorphism	Br/DimorfismoSensual
SexyVillainsChasteHeroes	Br/ViloesSensuaisHeroisCastos
Shadowland	Br/TerraDasSombras
ShaggyDogStory	Br/HistoriaPraBoiDormir
ShapedLikeWhatItSells	Br/ParecidoComOQueVende
Shapeshifter	Br/{{Metamorfo}}
SharedUniverse	Br/UniversoCompartilhado
ShatteredWorld	Br/MundoDespedacado
SheepInSheepsClothing	Br/CordeiroEmPeleDeCordeiro
SheepInWolfsClothing	Br/CordeiroEmPeleDeLobo
SheetOfGlass	Br/ChapaDeVidro
ShiftingVoiceOfMadness	Br/VozAlteradaDaLoucura
ShiningCity	Br/CidadeReluzente
ShooOutTheClowns	Br/EnxotarOsPalhacos
ShooOutTheNewGuy	Br/ExpulsarOCaraNovo
ShootTheDog	Br/AtirarNoCachorro
ShootTheShaggyDog	Br/AcordarOBoiATiros
ShortRunners	Br/CurtaDuracao
ShortRunners	Br/SeriesDeCurtaDuracao
ShortScreentimeForReality	Br/PoucoTempoDeTelaParaARealidade
ShoutOut	Br/MandandoUmSalve
ShowDontTell	Br/MostreNaoConte
ShownTheirWork	Br/MostraramSeuEmpenho
ShownTheirWork	Br/MostrouSeuEmpenho
ShowyInvincibleHero	Br/HeroiPomposamenteInvencivel
ShrineToSelf	Br/SantuarioASiProprio
ShroudedInMyth	Br/EnvoltoEmMito
ShrugOfGod	Br/ToNemAiDeDeus
ShutUpHannibal	Br/CalaABocaHannibal
ShutUpKirk	Br/CalaABocaKirk
SickAndWrong	Br/NojentoEErrado
Sidekick	Br/{{Parceiro}}
SignedUpForTheDental	Br/AceiteiPeloPlanoDeSaude
SilentSnarker	Br/SarcasticoSilencioso
SiliconSnarker	Br/SarcasticoDeSilicio
SilverHasMysticPowers	Br/PrataPossuiPoderesMisticos
SimulatedUrbanCombatArea	Br/AreaDeCombateUrbanaSimulada
SingerNamedrop	Br/FalarONomeDaBanda
SingleBiomePlanet	Br/PlanetaComUmUnicoBioma
SingleIssuePsychology	Br/PsicologiaDeProblemaUnico
SinisterGeometry	Br/GeometriaSinistra
SinisterSouthwest	Br/SudoesteSinistro
SinisterSubway	Br/MetroSinistro
SinkOrSwimMentor	Br/MentorDeAfundarOuNadar
SisterTrope	Br/TropoIrmao
SituationalSexuality	Br/SexualidadeSituacional
SixthRanger	Br/OSextoRanger
SkewedPriorities	Br/PrioridadesDistorcidas
SkyscraperCity	Br/CidadeDeArranhaCeus
Slapstick	Br/{{Pastelao}}
SlaveLiberation	Br/LibertacaoDosEscravos
SleeperHit	Br/SucessoInesperado
SliceOfLife	Br/VidaCotidiana
SlidingScaleOfAntiVillains	Br/EscalaMovelDeAntiViloes
SlidingScaleOfComedyAndHorror	Br/EscalaMovelDeComediaETerror
SlidingScaleOfIdealismVersusCynicism	Br/EscalaMovelDeIdealismoVersusCinismo
SlidingScaleOfPlotVersusCharacters	Br/EscalaDeslizanteDeTramaContraPersonagens
SlidingScaleOfRobotIntelligence	Br/EscalaMovelDeInteligenciaRobotica
SlidingScaleOfShinyVersusGritty	Br/EscalaMovelDePolidoVersusAspero
SlidingScaleOfVillainThreat	Br/EscalaMovelDeAmeacaVilanica
SlippingAMickey	Br/BoaNoiteCinderela
SlowMotionDrop	Br/DerrubadaEmCameraLenta
SlowMotionFall	Br/QuedaEmCameraLenta
SmallReferencePools	Br/PequenoEspacoDeReferencia
SmallSecludedWorld	Br/PequenoEIsoladoMundo
SmallStepsHero	Br/HeroiDePequenosPassos
SmallStepsHero	Br/UmPassoHeroicoDeCadaVez
SmallTownBoredom	Br/TedioDeCidadePequena
SmallTownRivalry	Br/RivalidadeDeCidadePequena
SmallTowns	Br/PequenaVila
SmartHouse	Br/CasaInteligente
SmartPeoplePlayChess	Br/PessoasEspertasJogamXadrez
SmashCut	Br/CorteRapido
SmileOfApproval	Br/SorrisoDeAprovacao
SmitingEvilFeelsGood	Br/PunirOMalFazBem
SmokingHotSex	Br/SexoFumegante
SmokingIsCool	Br/FumarELegal
SmokingIsEdgy	Br/FumarNaoEParaMocinhos
SmokingIsGlamorous	Br/FumarEGlamoroso
SmokingIsNotCool	Br/FumarNaoELegal
SmokyGentlemensClub	Br/SociedadeDosCavalheirosFumantes
SmokyVoice	Br/VozDeFumante
SmoochOfVictory	Br/BeijoDaVitoria
SnarkToSnarkCombat	Br/CombateEntreSarcasticos
SnoopingLittleKid	Br/CriancaXereta
SoBadItsGood	Br/TaoRuimQueEBom
SoLastSeason	Br/IssoETaoTemporadaPassada
SoLongAndThanksForAllTheGear	Br/AteMaisEObrigadoPelosEquipamentos
SoLongSuckers	Br/TchauzinhoOtarios
SoWhatDoWeDoNow	Br/EntaoOQueFaremosAgora
SocialSemicircle	Br/SemicirculoSocial
SociallyAwkwardHero	Br/HeroiSocialmenteInepto
SociopathicHero	Br/HeroiSociopata
SociopathicSoldier	Br/SoldadoSociopata
SoftReboot	Br/ReinicioBrando
SoiledCityOnAHill	Br/CidadeEncardida
SoleSurvivingScientist	Br/UnicoCientistaVivo
SoleSurvivor	Br/UnicoSobrevivente
SolidClouds	Br/NuvensSolidas
SomeoneToRememberHimBy	Br/AlguemParaSeLembrarDele
SomethingElseAlsoRises	Br/AlgoMaisTambemSobe
SomewhereSong	Br/CancaoDeEmAlgumLugar
SophomoreSlump	Br/CriseDoSegundoAno
SoreLoser	Br/MauPerdedor
SortingAlgorithmOfEvil	Br/AlgoritmoOrdenadorDeMaldade
SortingAlgorithmOfMortality	Br/AlgoritmoOrdenadorDeMortalidade
SoulCrushingDeskJob	Br/EmpregoPessimoDeEscritorio
SoulSuckingRetailJob	Br/EmpregoPessimoDeAtendimentoAoPublico
SoullessBedroom	Br/QuartoSemAlma
SourSupporter	Br/ApoiadorAcido
SouvenirLand	Br/TerraDasLembrancinhas
SpaceAgeStasis	Br/EstaseDaEraEspacial
SpaceAmish	Br/AmishEspacial
SpaceBrasilia	Br/BrasiliaEspacial
SpaceCadetAcademy	Br/AcademiaDeCadetesEspaciais
SpaceSector	Br/SetorEspacial
SpaceStation	Br/EstacaoEspacial
SpaceWestern	Br/VelhoOesteEspacial
SpaceWhaleAesop	Br/EsopoDeBaleiaEspacial
SpareAMessenger	Br/PouparUmMensageiro
SpareBodyParts	Br/PartesCorporaisExtras
SparingTheFinalMook	Br/PouparOUltimoCapanga
SparkOfTheRebellion	Br/FagulhaDaRebeliao
SpeakOfTheDevil	Br/FalandoNoDiabo
SpeaksInShoutOuts	Br/FalarEmSalves
SpearCarrier	Br/PortadorDeLanca
SpecialEffectFailure	Br/DefeitosEspeciais
SpecialEffectsFailure	Br/DefeitosEspeciais
SpecialGuest	Br/ConvidadoEspecial
Spectacle	Br/{{Espetaculo}}
SpeculativeFiction	Br/FiccaoEspeculativa
SpentShellsShower	Br/ChuvaDeCartuchosGastos
SpinOff	Br/{{Derivado}}
SpinOffBabies	Br/DerivadoComBebes
SpinOffspring	Br/DerivadoComFilhos
SpiritAdvisor	Br/ConselheiroEspiritual
SpiritWorld	Br/MundoEspiritual
SpiritualSuccessor	Br/SucessorEspiritual
SpoiledBrat	Br/PirralhoMimado
SpoiledSweet	Br/QueridoMimado
SpoilerOpening	Br/IntroducaoComSpoiler
SpoileredRotten	Br/FedendoASpoilers
SpoofAesop	Br/EsopoParodiado
SpookySilentLibrary	Br/BibliotecaSilenciosaAssustadora
SportsStoryTropes	Br/TroposDeHistoriasDeEsportes
SpotlightStealingSquad	Br/EsquadraoDeRouboDoHolofote
SpringtimeForHitler	Br/PrimaveraParaHitler
SpySchool	Br/EscolaDeEspioes
StableTimeLoop	Br/CicloTemporalEstavel
StandAloneEpisode	Br/EpisodioAutoContido
StandardFantasySetting	Br/AmbientacaoPadraoDeFantasia
StandardFemaleGrabArea	Br/AreaPadraoParaSegurarMulheres
StandardHeroReward	Br/RecompensaPadraoDoHeroi
StandardJapaneseFantasySetting	Br/AmbientacaoPadraoDeFantasiaJaponesa
StandardOfficeSetting	Br/AmbientacaoPadraoDeEscritorio
StandardPostApocalypticSetting	Br/AmbientacaoPosApocalipticaPadrao
StandardRoyalCourt	Br/CorteRealPadrao
StandardSciFiHistory	Br/HistoriaSciFiPadrao
StandardSciFiSetting	Br/AmbientacaoPadraoDeSciFi
StandardSuperheroSetting	Br/AmbientacaoPadraoDeSuperHeroi
StandardizedLeader	Br/LiderPadronizado
StarScraper	Br/ArranhaEstrela
StarfishAlien	Br/AliensEsquisitos
StartOfDarkness	Br/ComecoDasTrevas
StaticCharacter	Br/PersonagemEstatico
StaticRoleExchangeableCharacter	Br/PapelEstaticoPersonagemMutavel
StatuesqueStunner	Br/EstonteanteEscultural
StatusQuoGameShow	Br/ProgramaDePalcoDoStatusQuo
StatusQuoIsGod	Br/StatusQuoEDeus
StayInTheKitchen	Br/FiqueNaCozinha
StayingAlive	Br/PermanecendoVivo
StealthCigaretteCommercial	Br/PropagandaDiscretaDeCigarro
StealthSequel	Br/SequenciaSorrateira
SteelMill	Br/{{Aciaria}}
StellarStation	Br/EstacaoEstelar
Stereotype	Br/{{Estereotipo}}
StillbornFranchise	Br/FranquiaNatimorta
StockLightNovelHero	Br/HeroiPadraoDeRomanceLeve
StockLightNovelHero	Br/TipicoHeroiDeLightNovel
StockParody	Br/ParodiaPronta
StockShonenHero	Br/HeroiPadraoDeShonen
StockShonenHero	Br/TipicoHeroiDeShonen
StockShoujoHeroine	Br/HeroinaPadraoDeShoujo
StockShoujoHeroine	Br/TipicaHeroinaDeShoujo
StockStarSystems	Br/SistemasEstelaresProntos
StoicWoobie	Br/CoitadinhoEstoico
StoneWall	Br/ParedeDePedra
StopWorshippingMe	Br/PareDeMeIdolatrar
StoppedNumberingSequels	Br/PararamDeNumerarAsSequencias
StoutStrength	Br/ForcaCorpulenta
StraightGay	Br/GayHetero
StraightMan	Br/HomemSerio
StraightMan	Br/HomemSerio
StraightManAndWiseGuy	Br/HomemSerioECaraSagaz
StrawCharacter	Br/PersonagemEspantalho
StrawVulcan	Br/EspantalhoVulcano
StreetSmart	Br/ConhecedorDasRuas
StreetUrchin	Br/OArruaceiro
StrictlyFormula	Br/FormulaEstrita
Stripperific	Br/{{Strippertastico}}
StrongAsTheyNeedToBe	Br/TaoForteQuantoNecessario
StuckAtTheAirportPlot	Br/TramaDePresosNoAeroporto
StupidEvil	Br/EstupidoEMau
StupidGood	Br/EstupidoEBom
StupidNeutral	Br/EstupidoENeutro
StupidSacrifice	Br/SacrificioEstupido
StupidityIsTheOnlyOption	Br/EstupidezEAUnicaOpcao
SturgeonsLaw	Br/LeiDeSturgeon
SubStory	Br/SubHistoria
SubTrope	Br/SubTropo
SubbingForSanta	Br/SubstituirONoel
Subtext	Br/{{Subtexto}}
SuburbanGothic	Br/GoticoSuburbano
SubvertedTrope	Br/TropoSubvertido
SuccessThroughInsanity	Br/SucessoViaInsanidade
SuccessfulSiblingSyndrome	Br/SindromeDoIrmaoBemSucedido
SuddenSchoolUniform	Br/UniformeEscolarSubito
SuddenSequelDeathSyndrome	Br/SindromeDeMorteSubitaNaSequencia
SuddenlySignificantCity	Br/CidadeSubitamenteImportante
SugarBowl	Br/TigelaDeAcucar
SugarWiki	BrWikiAlegre	"Sugar Wiki" é um namespace.
SugarWiki/AwesomeMusic	BrSugarWiki/MusicaFantastica
SugarWiki/MomentOfAwesome	BrWikiAlegre/MomentoFantastico
SugarWiki/TVTropesWillEnhanceYourLife	BrWikiAlegre/TVTropesVaiMelhorarSuaVida
SuitUpOfDestiny	Br/TrajeDoDestino
SummonBackupDancers	Br/InvocarDancarinosReserva
SummonEverymanHero	Br/InvocarHeroiMediocre
SuperHero	Br/SuperHeroi
SuperMultiPurposeRoom	Br/SuperSalaMultiproposito
SuperSargassoSea	Br/SuperMarDosSargacos
SuperSentaiStance	Br/PoseSuperSentai
SuperSerum	Br/SuperSoro
SuperSmoke	Br/SuperFumaca
SuperSoldier	Br/SuperSoldado
SuperToughness	Br/SuperResistencia
SuperTrope	Br/SuperTropo
SuperVillain	Br/SuperVilao
SuperWeight	Br/SuperPeso
SuperZeroes	Br/SuperZeros
SuperheroCapitalOfTheWorld	Br/CapitalMundialDeSuperHerois
SuperheroEpisode	Br/EpisodioDeSuperHeroi
SuperheroSchool	Br/EscolaDeSuperHerois
SuperheroTropes	Br/TroposDeSuperHeroi
SuperheroTrophyShelf	Br/EstanteDeTrofeusDoSuperHeroi
SuperiorSpecies	Br/EspecieSuperior
SupermanSubstitute	Br/SupermanSubstituto
SuperpoweredEvilSide	Br/LadoMauComSuperpoderes
SupervillainLair	Br/CovilDoSuperVilao
SupportingLeader	Br/LiderDeApoio
SurpriseDifficulty	Br/DificuldadeSurpresa
SurprisinglyGentleSong	Br/MusicaSurpreendentementeCalma
SurprisinglyImprovedSequel	Br/SequenciaSurpreendentementeMelhor
SurprisinglyRealisticOutcome	Br/ResultadoSurpreendentementeRealista
SurrealHumor	Br/HumorSurreal
SurroundedByIdiots	Br/CercadoPorIdiotas
SurroundedBySmartPeople	Br/CercadoPorGenteEsperta
SurvivorshipBias	Br/ViesDoSobrevivente
SuspiciouslySimilarSubstitute	Br/SubstitutoEstranhamenteSimilar
SwampsAreEvil	Br/PantanosSaoDoMal
SweetBaker	Br/DocePadeiro
SweetnessAversion	Br/AversaoADocura
SwissArmyHero	Br/HeroiCaniveteSuico
SympatheticInspectorAntagonist	Br/InspetorAntagonistaSimpatico
SympathyForTheDevil	Br/SimpatiaPeloDiabo
SympathyForTheHero	Br/SimpatiaPeloHeroi
SyntheticPlague	Br/PragaSintetica
TVNeverLies	Br/ATelevisaoNuncaMente
TVTelephoneEtiquette	Br/BonsModosAoTelefoneNaTelevisao
TabletopGame	BrJogoDeMesa	Esta é para o namespace.
TabletopGame/DungeonsAndDragons	BrJogoDeMesa/DungeonsAndDragons
TabletopGame/{{Chess}}	BrJogoDeMesa/{{Xadrez}}
TabletopGames	Br/JogosDeMesa	Esta é para a página.
TacticalReminiscence	Br/RecordacaoTatica
Tagline	Br/FraseDeEfeito
TailorMadePrison	Br/PrisaoFeitaSobMedida
TaintedTobacco	Br/TabacoAdulterado
TakeAThirdOption	Br/EscolherUmaTerceiraOpcao
TakeMyHand	Br/SeguraMinhaMao
TakeOverTheWorld	Br/DominarOMundo
TakeThat	Br/TomaEssa
TakeThatScrappy	Br/TomaEssaOdiado
TakeUpMySword	Br/LeveMinhaEspada
TakeYourTime	Br/LeveOTempoQuePrecisar
TakesOneToKillOne	Br/ENecessarioUmParaMatarUm
TakingTheBullet	Br/LevandoOTiro
TalkToEveryone	Br/FaleComTodoMundo
TalkativeLoon	Br/BirutaTagarela
TalkingToTheDead	Br/FalarComOsMortos
TallDarkAndSnarky	Br/AltoTrevosoESarcastico
TamerAndChaster	Br/MaisMansoECasto
TastesLikeFriendship	Br/TemGostoDeAmizade
TaughtByExperience	Br/EnsinadoPelaExperiencia
TautologicalTemplar	Br/TemplarioTautologico
TeamChef	Br/ChefDaEquipe
TeamDad	Br/PaiDaEquipe
TeamMom	Br/MaeDaEquipe
TearDryer	Br/SecadorDeLagrimas
TearJerker	Br/DerramadorDeLagrimas
TechBro	Br/CaraDaTecnologia
TechnicalAdvisor	Br/ConsultorTecnico
TechnicalPacifist	Br/TecnicamentePacifista
TechnoBabble	Br/BaboseiraTecnologica
TechnoBabble	Br/BlaBlaBlaTecnologico
TechnoDystopia	Br/TecnoDistopia
TechnologyMarchesOn	Br/AMarchaDaTecnologia
TeenSuperspy	Br/AdolescenteSuperEspiao
Telepathy	Br/{{Telepatia}}
TelevisionGeography	Br/GeografiaDeTelevisao
TemporarilyExaggeratedTrait	Br/AspectoTemporariamenteExagerado
TemptingFate	Br/DesafiarODestino
TemptingFate	Br/ProvocandoODestino
TemptingFate	Br/ProvocarODestino
TenLittleMurderVictims	Br/OCasoDosDezNegrinhos
TenorBoy	Br/GarotoTenor
TerminallyDependentSociety	Br/SociedadeTerminalmenteDependente
TerribleTrio	Br/TrioTerrivel
TerrorHero	Br/HeroiAterrorizante
TertiarySexualCharacteristics	Br/CaracteristicasSexuaisTerciarias
ThanatosGambit	Br/GambitoDeThanatos
ThatCameOutWrong	Br/IssoSaiuErrado
ThatNostalgiaShow	Br/AqueleShowNostalgico
ThatOneLevel	Br/AquelaFase
ThatsWhatSheSaid	Br/FoiOQueElaDisse
TheAce	Br/OAs
TheAgeless	Br/OEterno
TheAlcatraz	Br/AAlcatraz
TheAlliance	Br/AAlianca
TheAnnotatedEdition	Br/EdicaoAnotada
TheAntiNihilist	Br/AntiNiilista
TheAntichrist	Br/OAnticristo
TheApunkalypse	Br/OApunkalipse
TheArmiesOfHeaven	Br/ExercitosDoCeu
TheArtifact	Br/OArtefato
TheAtoner	Br/OExpiador
TheBadGuyWins	Br/OCaraMauVence
TheBermudaTriangle	Br/TrianguloDasBermudas
TheBerserker	Br/OEnfurecido
TheBigGuy	Br/OGrandao
TheBridge	Br/APonte
TheBrute	Br/OBruto
TheBully	Br/OValentao
TheButlerDidIt	Br/FoiOMordomoQuemFez
TheCape	Br/ACapa
TheCaptain	Br/OCapitao
TheCardinalVirtues	Br/AsVirtudesCardeais
TheCardinalVirtues	Br/AsVirtudesCardinais
TheCasanova	Br/OCasanova
TheCasino	Br/OCassino
TheCastShowoff	Br/OExibidoDoElenco
TheCavalry	Br/ACavalaria
TheCharacterDiedWithHim	Br/OPersonagemMorreuComEle
TheCharmer	Br/OEncantador
TheChessmaster	Br/OMestreEnxadrista
TheChewToy	Br/BrinquedoDeMorder
TheChooserOfTheOne	Br/OEscolhedor
TheChosenMany	Br/OsMuitosEscolhidos
TheChosenOne	Br/OEscolhido
TheChrisCarterEffect	Br/EfeitoChrisCarter
TheChurch	Br/AIgreja
TheCity	Br/ACidade
TheCityNarrows	Br/BecosEscurosDaCidade
TheComplainerIsAlwaysWrong	Br/QuemReclamaEstaSempreErrado
TheComputerIsACheatingBastard	Br/OComputadorEUmCanalhaTrapaceiro
TheComputerIsYourFriend	Br/OComputadorESeuAmigo
TheCon	Br/OGolpe
TheCon	Br/OTrambique
TheConscience	Br/AConsciencia
TheConspiracy	Br/AConspiracao
TheCorrupter	Br/OCorruptor
TheCorruption	Br/ACorrupcao
TheCouch	Br/OSofa
TheCowl	Br/OEncapuzado
TheCracker	Br/OCracker
TheCreatorsForgotAboutThisIndex	Br/OsCriadoresSeEsqueceramDesteIndice
TheCuckoolanderWasRight	Br/OAvoadoEstavaCerto
TheCuckoolanderWasRight	Br/OLunaticoEstavaCerto
TheCynic	Br/OCinico
TheDarkTimes	Br/EraDasTrevas
TheDeterminator	Br/ODeterminado
TheDissenterIsAlwaysRight	Br/ODissidenteEstaSempreCerto
TheDitz	Br/OIdiota
TheDividual	Br/ODividuo
TheDragon	Br/ODragao
TheDreaded	Br/OTemido
TheDrifter	Br/OErrante
TheDulcineaEffect	Br/EfeitoDulcineia	Baseado em Dom Quixote.
TheDungAges	Br/IdadeDasMerdas
TheEdwardianEra	Br/EraEdwardiana
TheEighties	Br/Anos80
TheEmperor	Br/OImperador
TheEmpire	Br/OImperio
TheEndOfTheWorldAsWeKnowIt	Br/OFimDoMundoComoNosConhecemos
TheEndOrIsIt	Br/OFimOuSeraQueNao
TheEveryman	Br/OMediano
TheEveryman	Br/SujeitoComum
TheEvilGenius	Br/GenioDoMal
TheEvilsOfFreeWill	Br/OsMalesDoLivreArbitrio
TheExactCenterOfEverything	Br/OCentroExatoDeTudo
TheExtremistWasRight	Br/OExtremistaEstavaCerto
TheFace	Br/ORosto
TheFettered	Br/OAcorrentado
TheFifties	Br/Anos50
TheFilmOfTheBook	Br/OFilmeDoLivro
TheFireflyEffect	Br/EfeitoFirefly
TheFool	Br/OTolo
TheFourthWallWillNotProtectYou	Br/AQuartaParedeNaoTeProtegera
TheFundamentalist	Br/OFundamentalista
TheFuture	Br/OFuturo
TheFutureIsNoir	Br/OFuturoENoir
TheGMIsACheatingBastard	Br/OMestreDoJogoEUmCanalhaTrapaceiro
TheGambler	Br/OApostador
TheGoodCaptain	Br/OBomCapitao
TheGoodChancellor	Br/ChancelerBondoso
TheGoodGuysAlwaysWin	Br/OsBonzinhosSempreVencem
TheGoodKing	Br/OReiBondoso
TheGoodKingdom	Br/OBomReino
TheGoodTheBadAndTheEvil	Br/OBomORuimEOMalvado
TheGraphShowsTheTrend	Br/OGraficoMostraATendencia
TheGreatestStoryNeverTold	Br/AMaiorHistoriaJamaisContada
TheGunslinger	Br/OPistoleiro
TheHashshashin	Br/OsHashshashin
TheHeart	Br/OCoracao
TheHedgeOfThorns	Br/CercaDeEspinhos
TheHeretic	Br/OHerege
TheHero	Br/OHeroi
TheHeroDies	Br/OHeroiMorre
TheHeroSucksSong	Br/CancaoDeOHeroiEUmaDroga
TheHerosJourney	Br/AJornadaDoHeroi
TheHerosJourney	Br/JornadaDoHeroi
TheHighQueen	Br/AAltaRainha
TheHomewardJourney	Br/AViagemDeVolta
TheHorseshoeEffect	Br/EfeitoFerradura
TheIdealist	Br/OIdealista
TheIdealistWasRight	Br/OIdealistaEstavaCerto
TheIgor	Br/OIgor
TheIndexTeam	Br/EquipeDoIndice
TheIngenue	Br/AIngenua
TheJoysOfTorturingMooks	Br/AsAlegriasDeTorturarCapangas
TheJuggernaut	Br/OIrrefreavel
TheKilljoy	Br/EstragaPrazeres
TheKindnapper	Br/SequestradorGentil
TheKlutz	Br/ODesastrado
TheLancer	Br/OLanceiro
TheLavaCavesOfNewYork	Br/CavernasVulcanicasDeNovaIorque
TheLeader	Br/OLider
TheLittleShopThatWasntThereYesterday	Br/PequenaLojaQueNaoExistiaOntem
TheLostWoods	Br/FlorestaPerdida
TheMadHatter	Br/ChapeleiroMaluco
TheMadnessPlace	Br/LugarDaLoucura
TheMagicVersusTechnologyWar	Br/GuerraDaMagiaContraTecnologia
TheMainCharactersDoEverything	Br/OsPersonagensPrincipaisFazemTudo
TheMall	Br/OShopping
TheManBehindTheMan	Br/OHomemPorTrasDoHomem
TheManInTheMoon	Br/OHomemNaLua
TheMaze	Br/OLabirinto
TheMcCoy	Br/OMcCoy
TheMeddlingKidsAreUseless	Br/AsCriancasEnxeridasSaoInuteis
TheMedic	Br/OMedico
TheMenFirst	Br/OsHomensPrimeiro
TheMenInBlack	Br/OsHomensDePreto
TheMetaverse	Br/OMetaverso
TheMole	Br/OInfiltrado
FeedTheMole	Br/IludirOInfiltrado
PersonalHateBeforeCommonGoals	Br/OdioPessoalVemAntesDosInteressesEmComum
TheMoralityMortalityEquation	Br/EquacaoDeMoralidadeEMortalidade
TheMountainsOfIllinois	Br/AsMontanhasDoAmazonas	Adaptado considerando a geografia de ambos locais.
TheMovie	Br/OFilme
TheMultiverse	Br/OMultiverso
TheNamesake	Br/OHomonimo
TheNationalIndex	Br/IndiceNacional
TheNeedsOfTheMany	Br/AsNecessidadesDeMuitos
TheNeutralZone	Br/ZonaNeutra
TheNewAdventures	Br/AsNovasAventuras
TheNineties	Br/Anos90
TheOldGods	Br/OsAntigosDeuses
TheOneWithAPersonalLife	Br/AqueleComUmaVidaPessoal
TheOnlyOne	Br/OUnico
TheOphelia	Br/AOfelia
TheOrder	Br/AOrdem
TheOtherDarrin	Br/OOutroJames	Na dublagem de "Bewitched", o Darrin se chama James.
TheOutsideWorld	Br/OMundoExterior
ThePampas	Br/OsPampas
TheParagon	Br/OExemplo
TheParagon	Br/OModelo
TheParagon	Br/OParagono
ThePiratesWhoDontDoAnything	Br/PiratasQueNaoFazemNada
ThePlan	Br/OPlano
ThePlotDemandedThisIndex	Br/ATramaExigiuEsteIndice
ThePlotReaper	Br/OCeifadorDeTramas
ThePoorlyChosenOne	Br/OEscolhidoErrado
ThePowerOfFriendship	Br/OPoderDaAmizade
ThePowerOfIndex	Br/OPoderDoIndice
ThePowerOfLove	Br/OPoderDoAmor
ThePowerOfRock	Br/OPoderDoRock
ThePrankster	Br/OTravesso
TheProblemWithLicensedGames	Br/OProblemaComJogosLicenciados
TheProducerThinksOfEverything	Br/OProdutorPensaEmTudo
ThePromisedLand	Br/TerraPrometida
TheProtagonist	Br/OProtagonista
ThePunishment	Br/APunicao
ThePunishment	Br/OCastigo
ThePurge	Br/OExpurgo
TheRealHeroes	Br/OsVerdadeirosHerois
TheReasonYouSuckSpeech	Br/DiscursoSobrePorQueVoceEHorrivel
TheRedeemer	Br/ORedentor
TheReliableOne	Br/OConfiavel
TheRemake	Br/{{Refilmagem}}
TheRemnant	Br/ORemanescente
TheRepublic	Br/ARepublica
TheReveal	Br/ARevelacao
TheRunaway	Br/OFugitivo
TheSacredDarkness	Br/SagradaEscuridao
TheScrappy	Br/OOdiado
TheShangriLa	Br/OShangriLa
